action,addr,advpnsc,assignip,auditid,auditreporttype,auditscore,audittime,bandwidth,cookies,cpu,criticalcount,date,devid,devname,dhcp_msg,dir,disk,disklograte,duration,error_num,espauth,esptransform,eventtime,exch,fazlograte,freediskstorage,group,highcount,hostname,idseq,in_spi,init,interface,ip,itime,lease,level,locip,locport,logdesc,logid,logver,lowcount,mac,mediumcount,mem,mode,msg,name,nextstat,out_spi,outintf,passedcount,peer_notif,rcvdbyte,reason,remip,remport,result,role,sentbyte,seq,setuprate,spi,stage,status,subtype,sysuptime,time,total,totalsession,tunnelid,tunnelip,tunneltype,type,tz,ui,used,user,useralt,vd,version,vpntunnel,waninfo,xauthgroup,xauthuser
negotiate,,0,N/A,,,,,,5df8cf6e832e3278/7c26da8af8e39c6e,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,outbound,,,,,,,1751755105163204839,CREATE_CHILD,,,N/A,,,19900372806008855,,local,,,1751755106,,notice,93.64.253.210,500,Progress IPsec phase 2,0101037129,0702111740,,,,,,progress IPsec phase 2,,,,wan1,,,,,88.61.48.146,500,OK,initiator,,,,,,success,vpn,,00:38:25,,,,,,event,+0200,,,88.61.48.146,N/A,root,IKEv2,to-pescara-pri,,N/A,N/A
negotiate,,0,N/A,,,,,,5df8cf6e832e3278/7c26da8af8e39c6e,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,HMAC_SHA1,ESP_AES,1751755105195738819,,,,N/A,,,19900372806008856,,,,,1751755106,,notice,93.64.253.210,500,Negotiate IPsec phase 2,0101037122,0702111740,,,,,,negotiate IPsec phase 2,,,,wan1,,,,,88.61.48.146,500,,initiator,,,,,,success,vpn,,00:38:25,,,,,,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
install_sa,,0,N/A,,,,,,5df8cf6e832e3278/7c26da8af8e39c6e,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751755105195932519,,,,N/A,,,19900372806008857,aa9a2477,,,,1751755106,,notice,93.64.253.210,500,IPsec SA installed,0101037133,0702111740,,,,,,install IPsec SA,,,bf6e6731,wan1,,,,,88.61.48.146,500,,initiator,,,,,,,vpn,,00:38:25,,,,,,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
negotiate,,0,N/A,,,,,,5df8cf6e832e3278/7c26da8af8e39c6e,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,inbound,,,,,,,1751755105195969139,CREATE_CHILD,,,N/A,,,19900372806008858,,local,,,1751755106,,notice,93.64.253.210,500,Progress IPsec phase 2,0101037129,0702111740,,,,,,progress IPsec phase 2,,,,wan1,,,,,88.61.48.146,500,DONE,initiator,,,,,,success,vpn,,00:38:25,,,,,,event,+0200,,,88.61.48.146,N/A,root,IKEv2,to-pescara-pri,,N/A,N/A
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751755176715539419,,,,,,ArcherAX55,19900372806008863,,,internal1,10.63.44.101,1751755177,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:39:37,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,5df8cf6e832e3278/7c26da8af8e39c6e,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1115587,,,,1751755284882907859,,,,N/A,,,19900372806008865,,,,,1751755285,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,185381866,,88.61.48.146,500,,,401111063,,,,,,vpn,,00:41:25,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751755287065860479,,,,,,ArcherAX55,19900372806008860,,,internal1,10.63.44.101,1751755290,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:41:27,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,6/3,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751755320617397579,,0,0,,,,19900372806008898,,,,,1751755321,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  50; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1116136,00:42:00,,50,,,,event,+0200,,,,,root,,,name=wan1;bytes=1517276939/6481554937;packets=7851790/10093123;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751755397466214999,,,,,,ArcherAX55,19900372806008876,,,internal1,10.63.44.101,1751755401,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:43:18,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751755507856554759,,,,,,ArcherAX55,19900372806008839,,,internal1,10.63.44.101,1751755511,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:45:08,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751755618256855059,,,,,,ArcherAX55,19900372806008927,,,internal1,10.63.44.101,1751755622,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:46:58,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,6/7,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751755620627509999,,0,0,,,,19900372806008928,,,,,1751755622,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  47; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1116436,00:47:00,,47,,,,event,+0200,,,,,root,,,name=wan1;bytes=1517563184/6481803353;packets=7853148/10094525;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751755728597207119,,,,,,ArcherAX55,19900372806008844,,,internal1,10.63.44.101,1751755733,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:48:48,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751755838996413519,,,,,,ArcherAX55,19900372806008849,,,internal1,10.63.44.101,1751755839,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:50:39,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,5df8cf6e832e3278/7c26da8af8e39c6e,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1116187,,,,1751755884902908879,,,,N/A,,,19900372806008868,,,,,1751755888,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,185454350,,88.61.48.146,500,,,401266574,,,,,,vpn,,00:51:24,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
perf-stats,,,,,,,,3/2,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751755920627517539,,0,0,,,,19900372806008855,,,,,1751755923,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  47; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1116736,00:52:01,,47,,,,event,+0200,,,,,root,,,name=wan1;bytes=1517821716/6482009022;packets=7854451/10095864;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751755949396896739,,,,,,ArcherAX55,19900372806008858,,,internal1,10.63.44.101,1751755953,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:52:29,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751756059727142699,,,,,,ArcherAX55,19900372806009137,,,internal1,10.63.44.101,1751756060,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:54:20,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751756170127496219,,,,,,ArcherAX55,19900372806008872,,,internal1,10.63.44.101,1751756174,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:56:10,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,6/4,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751756220647479859,,0,0,,,,19900372806008837,,,,,1751756221,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  55; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1117036,00:57:01,,55,,,,event,+0200,,,,,root,,,name=wan1;bytes=1518102904/6482241180;packets=7855786/10097219;,,
negotiate,,0,N/A,,,,,,516d437431537959/0000000000000000,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,inbound,,,,,,,1751756232993482919,SA_INIT,,,N/A,,,19900372806008874,,remote,,,1751756234,,error,93.64.253.210,500,Progress IPsec phase 1,0101037128,0702111740,,,,,,progress IPsec phase 1,,,,wan1,,,,,12.17.36.187,53926,ERROR,responder,,,,,,failure,vpn,,00:57:13,,,,,,event,+0200,,,N/A,N/A,root,IKEv2,N/A,,N/A,N/A
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751756280497800859,,,,,,ArcherAX55,19900372806008832,,,internal1,10.63.44.101,1751756285,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:58:01,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751756390848166839,,,,,,ArcherAX55,19900372806009031,,,internal1,10.63.44.101,1751756391,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,00:59:50,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751756395222995059,,,,,,,19900372806008832,,,internal1,,1751756400,,information,,,DHCP statistics,0100026003,0702111740,,,,,,DHCP statistics,,,,,,,,,,,,,,,,,,,system,,00:59:56,51,,,,,event,+0200,,3,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,5df8cf6e832e3278/7c26da8af8e39c6e,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1116787,,,,1751756484912909239,,,,N/A,,,19900372806008869,,,,,1751756485,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,185545106,,88.61.48.146,500,,,401439010,,,,,,vpn,,01:01:25,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751756501238484699,,,,,,ArcherAX55,19900372806008861,,,internal1,10.63.44.101,1751756503,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,01:01:41,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,6/3,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751756520647648719,,0,0,,,,19900372806008859,,,,,1751756520,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  53; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1117336,01:02:00,,53,,,,event,+0200,,,,,root,,,name=wan1;bytes=1518386302/6482461226;packets=7857124/10098597;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751756610127788839,,,,,,,19900372806008833,,,,,1751756614,,notice,,,FortiGate update succeeded,0100041000,0702111740,,,,,,Fortigate scheduled update fcni=yes fdni=yes fsci=yes virdb(93.04396) etdb(93.04396) avai(4.02305) mmdb(93.04396) from 173.243.140.6:443,,,,,,,,,,,,,,,,,,update,system,,01:03:30,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751756611588874779,,,,,,ArcherAX55,19900372806008834,,,internal1,10.63.44.101,1751756614,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,01:03:31,,,,,,event,+0200,,,,,root,,,,,
update,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,,,,,1751756634148286959,,,,,,,19900372806008867,,,,,1751756635,,notice,,,Scanunit reloaded AV Database,0100022813,0702111740,,,,,,scanunit=manager pid=200 cause='signal' AV database reload requested 1 times by updated (pid 202) successful,,,,,,,,,,,,,,,,,,,system,,01:03:54,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751756721989212039,,,,,,ArcherAX55,19900372806008833,,,internal1,10.63.44.101,1751756723,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,01:05:22,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,3/6,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751756820667455639,,0,0,,,,19900372806008873,,,,,1751756821,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  55; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1117636,01:07:01,,55,,,,event,+0200,,,,,root,,,name=wan1;bytes=1518685196/6482747044;packets=7858552/10100031;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751756832370154999,,,,,,ArcherAX55,19900372806008918,,,internal1,10.63.44.101,1751756834,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,01:07:12,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751756942789903439,,,,,,ArcherAX55,19900372806008864,,,internal1,10.63.44.101,1751756944,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,01:09:03,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751757053160192779,,,,,,ArcherAX55,19900372806008860,,,internal1,10.63.44.101,1751757055,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,01:10:53,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,5df8cf6e832e3278/7c26da8af8e39c6e,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1117387,,,,1751757084932904419,,,,N/A,,,19900372806008859,,,,,1751757087,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,185625200,,88.61.48.146,500,,,401609158,,,,,,vpn,,01:11:25,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
perf-stats,,,,,,,,5/2,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751757120687470159,,0,0,,,,19900372806008892,,,,,1751757122,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  55; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1117936,01:12:01,,55,,,,event,+0200,,,,,root,,,name=wan1;bytes=1518967339/6482975627;packets=7859924/10101426;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751757163590675099,,,,,,ArcherAX55,19900372806008863,,,internal1,10.63.44.101,1751757167,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,01:12:44,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751757273910913499,,,,,,ArcherAX55,19900372806008953,,,internal1,10.63.44.101,1751757276,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,01:14:34,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751757384271232179,,,,,,ArcherAX55,19900372806009200,,,internal1,10.63.44.101,1751757386,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,01:16:24,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,6/4,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751757420707425819,,0,0,,,,19900372806008851,,,,,1751757421,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  56; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1118236,01:17:00,,56,,,,event,+0200,,,,,root,,,name=wan1;bytes=1519260736/6483217653;packets=7861329/10102852;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751757494651578399,,,,,,ArcherAX55,19900372806008859,,,internal1,10.63.44.101,1751757495,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,01:18:15,,,,,,event,+0200,,,,,root,,,,,
negotiate,,0,N/A,,,,,,516d437431537959/0000000000000000,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,inbound,,,,,,,1751757505823804359,SA_INIT,,,N/A,,,19900372806008867,,remote,,,1751757508,,error,93.64.253.210,500,Progress IPsec phase 1,0101037128,0702111740,,,,,,progress IPsec phase 1,,,,wan1,,,,,12.17.36.187,53926,ERROR,responder,,,,,,failure,vpn,,01:18:26,,,,,,event,+0200,,,N/A,N/A,root,IKEv2,N/A,,N/A,N/A
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751757605062004959,,,,,,ArcherAX55,19900372806008841,,,internal1,10.63.44.101,1751757606,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,01:20:05,,,,,,event,+0200,,,,,root,,,,,
tunnel-stats,,0,N/A,,,,,,5df8cf6e832e3278/7c26da8af8e39c6e,,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,,,1117987,,,,1751757684942917259,,,,N/A,,,19900372806008927,,,,,1751757686,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,,,IPsec tunnel statistics,,600,,wan1,,,185700078,,88.61.48.146,500,,,401784520,,,,,,vpn,,01:21:25,,,2206215695,N/A,ipsec,event,+0200,,,88.61.48.146,N/A,root,,to-pescara-pri,,N/A,N/A
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751757715442294239,,,,,,ArcherAX55,19900372806008834,,,internal1,10.63.44.101,1751757716,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,01:21:55,,,,,,event,+0200,,,,,root,,,,,
perf-stats,,,,,,,,7/4,,0,,2025-07-06,FGT80FTK22013405,mg-project-bari,,,0,0,,,,,1751757720727481959,,0,0,,,,19900372806008842,,,,,1751757724,,notice,,,System performance statistics,0100040704,0702111740,,,,40,,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  46; setup-rate: 0,,,,,,,,,,,,,,,0,,,,system,1118536,01:22:01,,46,,,,event,+0200,,,,,root,,,name=wan1;bytes=1519533575/6483415654;packets=7862627/10104192;,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751757825842635699,,,,,,ArcherAX55,19900372806008832,,,internal1,10.63.44.101,1751757828,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,01:23:45,,,,,,event,+0200,,,,,root,,,,,
,,,,,,,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,,,,,,,1751757936212988759,,,,,,ArcherAX55,19900372806008858,,,internal1,10.63.44.101,1751757936,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,,,DHCP server sends a DHCPACK,,,,,,,,,,,,,,,,,,,system,,01:25:36,,,,,,event,+0200,,,,,root,,,,,
